,stdHour,stdYear,sphlDfttNm,sphlDfttCode,sphlDfttScopTypeNm,sphlDfttScopTypeCode,iStdYear,trfl,message,code
192,22,2022년,연말연시,1,D,4,,99266,,
193,03,2022년,설날,2,D-1,3,,18088,,
194,14,2022년,설날,2,D+3,7,,278622,,
195,06,2022년,추석,3,D-3,1,,222019,,
196,07,2022년,설날,2,D+3,7,,261688,,
197,03,2022년,추석,3,D-3,1,,30001,,
198,04,2022년,연말연시,1,D+1,5,,13352,,
199,11,2022년,추석,3,D-3,1,,288534,,
200,22,2022년,설날,2,D,4,,126598,,
201,02,2022년,설날,2,D-1,3,,20713,,
202,11,2022년,설날,2,D,4,,331384,,
203,18,2022년,설날,2,D+2,6,,265042,,
204,12,2022년,연말연시,1,D+1,5,,275072,,
205,08,2022년,설날,2,D+1,5,,92048,,
206,13,2022년,연말연시,1,D+1,5,,285744,,
207,18,2022년,설날,2,D-1,3,,207850,,
208,21,2022년,설날,2,D-2,2,,137232,,
209,05,2022년,설날,2,D+3,7,,76472,,
210,19,2022년,설날,2,D+1,5,,172276,,
211,10,2022년,설날,2,D,4,,244618,,
212,04,2022년,연말연시,1,D,4,,34701,,
213,14,2022년,추석,3,D-3,1,,302392,,
214,18,2022년,설날,2,D-2,2,,228970,,
215,05,2022년,설날,2,D,4,,19610,,
216,04,2022년,설날,2,D,4,,10804,,
217,20,2022년,설날,2,D+1,5,,157132,,
218,22,2022년,연말연시,1,D+2,6,,76564,,
219,03,2022년,설날,2,D-3,1,,29159,,
220,10,2022년,연말연시,1,D,4,,238455,,
221,08,2022년,설날,2,D+3,7,,287097,,
222,10,2022년,설날,2,D+2,6,,249707,,
223,01,2022년,연말연시,1,D+1,5,,20312,,
224,16,2022년,설날,2,D+1,5,,289155,,
225,09,2022년,설날,2,D-1,3,,188735,,
226,11,2022년,연말연시,1,D+3,7,,253445,,
227,22,2022년,연말연시,1,D+1,5,,111907,,
228,23,2022년,설날,2,D-1,3,,50301,,
229,15,2022년,설날,2,D+1,5,,301290,,
230,03,2022년,설날,2,D,4,,9626,,
231,07,2022년,설날,2,D-2,2,,89337,,
232,01,2022년,설날,2,D+1,5,,35943,,
233,18,2022년,설날,2,D-3,1,,225191,,
234,04,2022년,연말연시,1,D+3,7,,32321,,
235,18,2022년,연말연시,1,D+2,6,,268866,,
236,04,2022년,연말연시,1,D+2,6,,36075,,
237,04,2022년,설날,2,D-3,1,,35276,,
238,17,2022년,설날,2,D-2,2,,283926,,
239,02,2022년,설날,2,D-3,1,,31595,,
240,22,2022년,추석,3,D-3,1,,129917,,
241,02,2022년,설날,2,D,4,,12284,,
242,09,2022년,연말연시,1,D,4,,172055,,
243,20,2022년,설날,2,D-2,2,,151757,,
244,03,2022년,연말연시,1,D,4,,29574,,
245,10,2022년,설날,2,D-2,2,,235848,,
246,03,2022년,설날,2,D+2,6,,18035,,
247,08,2022년,추석,3,D-3,1,,337686,,
248,02,2022년,연말연시,1,D,4,,33326,,
249,09,2022년,설날,2,D,4,,167463,,
250,10,2022년,설날,2,D+1,5,,201522,,
251,23,2022년,연말연시,1,D,4,,57770,,
252,05,2022년,연말연시,1,D,4,,53749,,
253,16,2022년,연말연시,1,D,4,,311028,,
254,23,2022년,설날,2,D,4,,82935,,
255,05,2022년,연말연시,1,D+1,5,,22357,,
256,22,2022년,설날,2,D+2,6,,76960,,
257,05,2022년,설날,2,D-3,1,,57521,,
258,16,2022년,연말연시,1,D+1,5,,310548,,
259,19,2022년,설날,2,D-2,2,,176657,,
260,21,2022년,설날,2,D+3,7,,145625,,
261,09,2022년,설날,2,D-3,1,,225433,,
262,15,2022년,설날,2,D-2,2,,307192,,
263,12,2022년,추석,3,D-3,1,,275638,,
264,04,2022년,설날,2,D-1,3,,21366,,
265,23,2022년,설날,2,D-3,1,,62398,,
266,04,2022년,설날,2,D+2,6,,28589,,
267,11,2022년,설날,2,D+3,7,,258707,,
268,10,2022년,연말연시,1,D+2,6,,246470,,
269,03,2022년,설날,2,D+1,5,,15564,,
270,00,2022년,연말연시,1,D+1,5,,33088,,
271,23,2022년,연말연시,1,D+2,6,,48459,,
272,23,2022년,추석,3,D-3,1,,90593,,
273,13,2022년,연말연시,1,D+3,7,,256108,,
274,09,2022년,연말연시,1,D+2,6,,246932,,
275,17,2022년,연말연시,1,D+3,7,,298742,,
276,13,2022년,설날,2,D-1,3,,298790,,
277,10,2022년,설날,2,D-3,1,,265209,,
278,01,2022년,연말연시,1,D,4,,46995,,
279,06,2022년,연말연시,1,D+1,5,,40815,,
280,09,2022년,추석,3,D-3,1,,298109,,
281,02,2022년,설날,2,D+2,6,,17527,,
282,20,2022년,설날,2,D-1,3,,145936,,
283,15,2022년,설날,2,D+3,7,,285420,,
284,03,2022년,연말연시,1,D+2,6,,20237,,
285,07,2022년,설날,2,D-3,1,,143935,,
286,01,2022년,설날,2,D+2,6,,23675,,
287,21,2022년,연말연시,1,D,4,,139967,,
