,충전소명,충전소ID,충전기ID,충전기타입,주소,상세위치,이용가능시간,lat,long,기관 아이디,기관명,운영기관명,운영기관연락처,충전기상태,상태갱신일시,마지막 충전시작일시,마지막 충전종료일시,충전중 시작일시,,충전용량,충전방식,지역코드,지역구분 상세 코드,충전소 구분 코드,충전소 구분 상세코드,주차료무료,충전소 안내,이용자 제한,이용제한 사유,삭제 여부,삭제 사유
4637,이마트 수지점,ME19Z226,22,4,경기도 용인시 수지구 수지로 203,,10:00 ~ 23:00,37.319494,127.083188,ME,환경부,환경부,1661-9408,2,20220921190028.0,20220921182023.0,20220921190023.0,,,100.0,단독,41,41460.0,E0,E001,N,,N,,N,
4638,이마트 보라점,ME19Z227,21,4,경기도 용인시 기흥구 한보라1로 92,,10:00 ~ 23:00,37.247346,127.104984,ME,환경부,환경부,1661-9408,2,20220920162756.0,20220918105607.0,20220918113607.0,,,100.0,단독,41,41460.0,E0,E001,N,,N,,N,
4639,이마트 보라점,ME19Z227,22,4,경기도 용인시 기흥구 한보라1로 92,,10:00 ~ 23:00,37.247346,127.104984,ME,환경부,환경부,1661-9408,2,20220921202819.0,20220921194814.0,20220921202814.0,,,100.0,단독,41,41460.0,E0,E001,N,,N,,N,
6146,죽전휴게소 (서울방향),ME20D901,1,4,경기도 용인시 수지구 경부고속도로400,,24시간 이용가능,37.3316793,127.1045386,ME,환경부,환경부,1661-9408,2,20220921203602.0,20220921200952.0,20220921203602.0,,,100.0,단독,41,41460.0,C0,C001,Y,,N,,N,
6147,죽전휴게소 (서울방향),ME20D901,2,4,경기도 용인시 수지구 경부고속도로400,,24시간 이용가능,37.3316793,127.1045386,ME,환경부,환경부,1661-9408,2,20220921203544.0,20220921195536.0,20220921203544.0,,,100.0,단독,41,41460.0,C0,C001,Y,,N,,N,
6148,죽전휴게소 (서울방향),ME20D901,81,4,경기도 용인시 수지구 경부고속도로400,,24시간 이용가능,37.3316793,127.1045386,ME,환경부,환경부,1661-9408,3,20220921203901.0,20220921194542.0,20220921202650.0,20220921203901.0,,350.0,단독,41,41460.0,C0,C001,Y,,N,,N,
6149,죽전휴게소 (서울방향),ME20D901,82,4,경기도 용인시 수지구 경부고속도로400,,24시간 이용가능,37.3316793,127.1045386,ME,환경부,환경부,1661-9408,3,20220921203856.0,20220921193303.0,20220921201331.0,20220921203856.0,,350.0,단독,41,41460.0,C0,C001,Y,,N,,N,
6430,용인서부경찰서,ME21B173,1,4,경기도 용인시 기흥구 용구대로2469번길 32,,24시간 이용가능,37.3094934,127.1056667,ME,환경부,환경부,1661-9408,9,20220921182310.0,20220920173326.0,20220920175333.0,,,100.0,단독,41,41460.0,I0,I004,Y,,N,,N,
6956,운학동예비군훈련장,ME21C408,21,4,경기도 용인시 처인구 묵동로 73-1,,24시간 이용가능,37.2146582,127.2382608,ME,환경부,환경부,1661-9408,2,20220921165741.0,20220921162017.0,20220921165741.0,,,200.0,동시,41,41460.0,B0,B004,Y,,N,,N,
6957,운학동예비군훈련장,ME21C408,22,4,경기도 용인시 처인구 묵동로 73-1,,24시간 이용가능,37.2146582,127.2382608,ME,환경부,환경부,1661-9408,2,20220921133910.0,20220921130936.0,20220921133910.0,,,200.0,동시,41,41460.0,B0,B004,Y,,N,,N,
